# Kolejka przepisów — wklej TYLKO nowe pomysły (jeden na linię).
# Format: Tytuł | kategoria | notatki / target keyword
# Po imporcie (content:import / content:run) linie już w pipeline znikają automatycznie.

# ---------- CLASSIC ----------
Buttermilk Bakery-Style Cupcakes | classic | target keyword: buttermilk cupcakes. Tender crumb, light vanilla sweetness, moisture from buttermilk
Brown Sugar Cinnamon Swirl Cupcakes | classic | Warm brown sugar batter, cinnamon ribbon swirl baked inside, vanilla-cinnamon frosting swirl
Strawberries & Cream Cupcakes | classic | Real strawberry compote folded into batter + whipped cream cheese frosting. No artificial color
Chocolate Fudge Cupcakes with Milk Chocolate Swirl Frosting | classic | Moist deep cocoa cake base, milk chocolate buttercream swirled high
Caramel Latte Cupcakes | classic | Espresso-infused vanilla cake, caramel buttercream swirl, caramel drizzle
Honey Vanilla Bean Cupcakes | classic | Real vanilla bean specks, wildflower honey sweetness, silky honey frosting
Raspberry Lemon Burst Cupcakes | classic | Fresh lemon zest + raspberry puree, tart-sweet balanced flavor
Peaches & Cream Cupcakes | classic | Seasonal evergreen search. Soft peach puree in batter, whipped silky peach cream frosting
Blueberry Muffin Cupcakes with Vanilla Swirl | classic | Cupcake-muffin hybrid, visible blueberry pockets, vanilla swirl frosting
Creamsicle Cupcakes (Orange Vanilla) | classic | Fresh orange zest + juice, vanilla cream frosting, nostalgic but elegant
Banana Pudding Cupcakes | classic | Moist banana cake, pudding core, whipped vanilla frosting
Chocolate Chip Milk Cupcakes | classic | Vanilla cupcake with small chocolate chips, milk-infused frosting
Honey Apple Cupcakes | classic | Grated honey-sweetened apple, cinnamon notes, vanilla frosting
Golden Almond Buttercream Cupcakes | classic | Soft vanilla cake base with almond extract, silky almond buttercream. Classic not nut-free: contains almond
Maple Vanilla Cupcakes | classic | Pure maple syrup in batter + frosting, warm comforting flavor
Toasted Coconut Swirl Cupcakes | classic | Coconut milk batter, fluffy coconut-fleck swirl frosting, toasted coconut topping
Hot Cocoa Cupcakes with Marshmallow Swirl | classic | Cocoa cake + marshmallow-cream swirl frosting piped like soft-serve
Mint Chocolate Swirl Cupcakes | classic | Chocolate base + cool peppermint frosting, no artificial green
Vanilla Chai Cupcakes | classic | Chai-spiced vanilla cake + lightly spiced vanilla swirl frosting
Brown Sugar Eggnog Cupcakes | classic | Holiday cluster. Eggnog in batter + nutmeg buttercream, nostalgic holiday flavor
Spiced Gingerbread Latte Cupcakes | classic | Holiday cluster. Gingerbread spice + espresso buttercream
Caramel Apple Cider Cupcakes | classic | Holiday cluster. Apple cider batter + cinnamon + caramel drizzle

# ---------- KETO ----------
Keto Vanilla Cloud Cupcakes | keto | target keyword: keto vanilla cupcakes almond flour. Almond + coconut flour combo, light but stable crumb
Keto Cinnamon Roll Cupcakes | keto | Cinnamon-spice almond flour cake + vanilla cream swirl frosting
Keto Coconut Dream Cupcakes | keto | Coconut milk batter + shredded coconut, coconut-vanilla frosting swirl
Keto Peanut Butter Cup Cupcakes | keto | Peanut butter batter + chocolate buttercream swirl, balance texture
